album	artist	genre	score	author	date	link	genre_num
Nonagon Infinity	King Gizzard & The Lizard Wizard	Rock	8.0	Stuart Berman	May 4 2016	https://pitchfork.com/reviews/albums/21853-nonagon-infinity/	7
Singer's Grave a Sea of Tongues	Bonnie “Prince” Billy	Folk/Country	6.9	Joel Oliphint	September 24 2014	https://pitchfork.com/reviews/albums/19844-bonnie-prince-billy-singers-grave-a-sea-of-tongues/	6
Light Works	Aloha	Rock	6.4	Eric Harvey	January 25 2008	https://pitchfork.com/reviews/albums/11067-light-works/	7
Hellboy	Lil Peep	Rap	8.5	Matthew Strauss	November 18 2018	https://pitchfork.com/reviews/albums/lil-peep-hellboy/	4
Faustian Echoes EP	Agalloch	Metal,Rock	6.5	Grayson Haver Currin	July 12 2012	https://pitchfork.com/reviews/albums/16928-faustian-echoes-ep/	8
Forget the Mantra	Nightlands	Rock	7.0	Stuart Berman	November 16 2010	https://pitchfork.com/reviews/albums/14859-forget-the-mantra/	7
Exquisite Corpse	Daedelus	Electronic,Jazz	7.1	Jason Crock	March 9 2005	https://pitchfork.com/reviews/albums/2132-exquisite-corpse/	2
Micah P. Hinson and the Gospel of Progress	Micah P. Hinson	Rock	7.6	Stephen M. Deusner	April 19 2005	https://pitchfork.com/reviews/albums/4009-micah-p-hinson-and-the-gospel-of-progress/	7
Satanic Messiah EP	The Mountain Goats	Rock	7.8	Mike Powell	October 20 2008	https://pitchfork.com/reviews/albums/12305-satanic-messiah-ep-black-pear-tree-ep/	7
Lil Boat 2	Lil Yachty	Rap	5.8	Sheldon Pearce	March 9 2018	https://pitchfork.com/reviews/albums/lil-yachty-lil-boat-2/	4
Bromst	Dan Deacon	Electronic	8.5	Nitsuh Abebe	March 18 2009	https://pitchfork.com/reviews/albums/12833-bromst/	2
Far	Regina Spektor	Rock	4.8	Joshua Love	June 23 2009	https://pitchfork.com/reviews/albums/13184-far/	7
Long Enough to Leave	The Mantles	Rock	7.5	Marc Masters	June 20 2013	https://pitchfork.com/reviews/albums/18115-the-mantles-long-enough-to-leave/	7
Gore	Deftones	Metal,Rock	7.8	Ian Cohen	April 12 2016	https://pitchfork.com/reviews/albums/21547-gore/	8
Live at the Music Hall	Phosphorescent	Rock	6.0	Grayson Haver Currin	February 19 2015	https://pitchfork.com/reviews/albums/20097-live-at-the-music-hall/	7
When the Deer Wore Blue	Figurines	Rock	5.8	Brian Howe	August 21 2007	https://pitchfork.com/reviews/albums/10556-when-the-deer-wore-blue/	7
Catch That Totem! (1998-2005)	Alog	Electronic,Jazz,Rock	8.0	Mark Richardson	February 20 2006	https://pitchfork.com/reviews/albums/462-catch-that-totem-1998-2005/	2
Golden Hour	Kacey Musgraves	Folk/Country	8.7	Sam Sodomsky	April 2 2018	https://pitchfork.com/reviews/albums/kacey-musgraves-golden-hour/	6
Unsolved	Karate	Jazz,Metal,Rock	7.9	Camilo Arturo Leslie	October 24 2000	https://pitchfork.com/reviews/albums/4385-unsolved/	5
Emma Jean	Lee Fields & the Expressions	Pop/R&B	7.5	Nate Patrin	June 3 2014	https://pitchfork.com/reviews/albums/19304-lee-fields-the-expressions-emma-jean/	3
Lovers, Lead the Way!/The Heat Can Melt Your Brain	Viva Voce	Rock	7.8	Joe Tangari	November 27 2007	https://pitchfork.com/reviews/albums/11626-lovers-lead-the-waythe-heat-can-melt-your-brain/	7
Peri	Bardo Pond	Rock	7.3	Matthew Murphy	May 1 2009	https://pitchfork.com/reviews/albums/12971-peri/	7
Jettison The Valley	Carter Tanton	Rock	6.4	John S.W. MacDonald	March 10 2016	https://pitchfork.com/reviews/albums/21655-jettison-the-valley/	7
Based on a T.R.U. Story	2 Chainz	Rap	4.5	David Drake	August 28 2012	https://pitchfork.com/reviews/albums/17092-based-on-a-tru-story/	4
Cult of Youth	Cult of Youth	Electronic,Folk/Country	7.3	David Raposa	August 10 2011	https://pitchfork.com/reviews/albums/15719-cult-of-youth/	2
A Certain Trigger	Maximo Park	Electronic,Rock	8.4	Sam Ubl	May 16 2005	https://pitchfork.com/reviews/albums/5646-a-certain-trigger/	2
My Red Scare	Frankie Sparo	Experimental	6.1	Mark Richard-San	October 14 2001	https://pitchfork.com/reviews/albums/7402-my-red-scare/	0
The Budos Band III	The Budos Band	Global,Pop/R&B	7.6	Nate Patrin	August 18 2010	https://pitchfork.com/reviews/albums/14535-the-budos-band-iii/	1
On Patrol	Sun Araw	Experimental	8.1	Paul Thompson	July 26 2010	https://pitchfork.com/reviews/albums/14480-on-patrol/	0
Suffuse	Roy Montgomery	Rock	7.6	Sasha Geffen	August 17 2018	https://pitchfork.com/reviews/albums/roy-montgomery-suffuse/	7
Guess What? EP	G Perico	Rap	6.7	Jackson Howard	September 12 2018	https://pitchfork.com/reviews/albums/g-perico-guess-what-ep/	4
The Baby and the Satellite EP	Micah P. Hinson	Rock	7.3	Brian Howe	June 30 2006	https://pitchfork.com/reviews/albums/9042-the-baby-and-the-satellite-ep/	7
This Is It and I Am It and You Are It and So Is That and He Is It and She Is It and It Is It and That Is That	Marnie Stern	Experimental,Rock	8.3	Mike Powell	October 9 2008	https://pitchfork.com/reviews/albums/12272-this-is-it-and-i-am-it-and-you-are-it-and-so-is-that-and-he-is-it-and-she-is-it-and-it-is-it-and-that-is-that/	0
Get Rich or Die Tryin' OST	Various Artists	nan	7.9	Tom Breihan	November 7 2005	https://pitchfork.com/reviews/albums/3047-get-rich-or-die-tryin-ost/	9
Prayer of Death	Entrance	Rock	7.6	Stephen M. Deusner	July 5 2006	https://pitchfork.com/reviews/albums/9159-prayer-of-death/	7
The Brutalist Bricks	Ted Leo and the Pharmacists	Electronic,Rock	7.9	Paul Thompson	March 9 2010	https://pitchfork.com/reviews/albums/13992-the-brutalist-bricks/	2
Shangaan Shake	Various Artists	nan	7.7	Andrew Gaerig	March 9 2012	https://pitchfork.com/reviews/albums/16363-shangaan-shake/	9
The World Won't End	Pernice Brothers	Rock	7.2	Joe Tangari	June 19 2001	https://pitchfork.com/reviews/albums/6238-the-world-wont-end/	7
Eight	Radar Brothers	Rock	6.0	Ian Cohen	January 28 2013	https://pitchfork.com/reviews/albums/17596-eight/	7
Revisionist	Sannhet	Metal	8.1	Grayson Haver Currin	March 3 2015	https://pitchfork.com/reviews/albums/20098-revisionist/	8
At What Cost	GoldLink	Rap	7.5	Mehan Jayasuriya	April 11 2017	https://pitchfork.com/reviews/albums/23109-at-what-cost/	4
I Mean to Live Here Still	David Karsten Daniels, Fight the Big Bull	Folk/Country,Jazz	7.5	Brian Howe	July 12 2010	https://pitchfork.com/reviews/albums/14441-i-mean-to-live-here-still/	6
Mo' Mega	Mr. Lif	Rap	7.9	Peter Macia	June 15 2006	https://pitchfork.com/reviews/albums/9121-mo-mega/	4
Blood Run	Unsane	Rock	5.0	Brandon Stosuy	August 7 2005	https://pitchfork.com/reviews/albums/8386-blood-run/	7
The Postmarks	The Postmarks	Pop/R&B	7.9	Marc Hogan	February 12 2007	https://pitchfork.com/reviews/albums/9874-the-postmarks/	3
La Maison Noir	Petite Noir	Pop/R&B	7.8	Stephen Kearse	October 16 2018	https://pitchfork.com/reviews/albums/petite-noir-la-maison-noir/	3
Elements of Style... Exercises in Surprise	The Vandermark Five	nan	7.8	Liam Singer	August 22 2004	https://pitchfork.com/reviews/albums/8398-elements-of-style-exercises-in-surprise/	9
The God Complex	GoldLink	Rap	7.9	Jayson Greene	May 9 2014	https://pitchfork.com/reviews/albums/19325-goldlink-the-god-complex/	4
Vignetting the Compost	Bibio	Electronic	6.8	Brian Howe	March 30 2009	https://pitchfork.com/reviews/albums/12793-vignetting-the-compost/	2
Endless Now	Male Bonding	nan	8.0	Larry Fitzmaurice	August 30 2011	https://pitchfork.com/reviews/albums/15756-endless-now/	9
Greatest Hits	Ice Cube	Rap	8.5	Alexander Lloyd Linhardt	October 13 2003	https://pitchfork.com/reviews/albums/4147-greatest-hits/	4
Pirate Radio	The Pretenders	Rock	8.2	Stephen M. Deusner	March 16 2006	https://pitchfork.com/reviews/albums/6595-pirate-radio/	7
Dark Bliss	Galcher Lustwerk	Electronic	7.6	Philip Sherburne	October 3 2017	https://pitchfork.com/reviews/albums/galcher-lustwerk-dark-bliss/	2
LP	Container	Experimental	7.4	Andrew Gaerig	December 10 2012	https://pitchfork.com/reviews/albums/17481-lp/	0
Heathen	Thou	Metal	8.4	Kim Kelly	March 11 2014	https://pitchfork.com/reviews/albums/18962-thou-heathen/	8
Sunday School II: When Church Lets Out	Tree	Rap	7.7	Miles Raymer	May 22 2013	https://pitchfork.com/reviews/albums/18133-tree-sunday-school-ii-when-church-lets-out/	4
Book of Changes	Entrance	Rock	7.4	Grayson Haver Currin	February 28 2017	https://pitchfork.com/reviews/albums/22919-book-of-changes/	7
Cardinal	Pinegrove	Rock	8.0	Ian Cohen	February 10 2016	https://pitchfork.com/reviews/albums/21507-cardinal/	7
Trill	Bun B	Rap	6.9	Tom Breihan	October 31 2005	https://pitchfork.com/reviews/albums/1179-trill/	4
My Dark Places	Television Personalities	Rock	6.7	Nitsuh Abebe	March 16 2006	https://pitchfork.com/reviews/albums/8975-my-dark-places/	7
Where Did the Night Fall	UNKLE	Electronic,Jazz	5.9	Ian Cohen	May 10 2010	https://pitchfork.com/reviews/albums/14223-where-did-the-night-fall/	2
700 Fill EP	Ratking	Rap	7.2	Craig Jenkins	March 27 2015	https://pitchfork.com/reviews/albums/20355-700-fill-ep/	4
Piano Nights	Bohren & Der Club of Gore	Jazz	7.3	Mike Powell	February 3 2014	https://pitchfork.com/reviews/albums/18870-bohren-der-club-of-gore-piano-nights/	5
Looping State of Mind	The Field	Electronic	8.5	Jess Harvell	September 7 2011	https://pitchfork.com/reviews/albums/15790-looping-state-of-mind/	2
Gonna Work Out Fine	Untold	Electronic	7.8	Mike Powell	January 12 2010	https://pitchfork.com/reviews/albums/13770-gonna-work-out-fine/	2
Ye Gods (And Little Fishes)	Martin Carr	Rock	7.1	Joe Tangari	July 7 2009	https://pitchfork.com/reviews/albums/13265-ye-gods-and-little-fishes/	7
The Hardest Way to Make an Easy Living	The Streets	Rap	7.0	Mark Pytlik	April 10 2006	https://pitchfork.com/reviews/albums/7534-the-hardest-way-to-make-an-easy-living/	4
Tha Carter II	Lil Wayne	Rap	8.1	Nick Sylvester	January 12 2006	https://pitchfork.com/reviews/albums/4997-tha-carter-ii/	4
This Gift	Sons and Daughters	Rock	7.7	Joe Tangari	February 18 2008	https://pitchfork.com/reviews/albums/11124-this-gift/	7
Feel the Sound	Imperial Teen	Rock	6.2	Jess Harvell	February 7 2012	https://pitchfork.com/reviews/albums/16260-feel-the-sound/	7
Fit Me In EP	Frankie Cosmos	Rock	7.0	Jes Skolnik	November 11 2015	https://pitchfork.com/reviews/albums/21254-fit-me-in-ep/	7
The Psychedelic Sounds of...	13th Floor Elevators	Rock,Electronic	9.1	Stephen M. Deusner	July 10 2005	https://pitchfork.com/reviews/albums/11855-the-psychedelic-sounds-of-i-have-always-been-here-before/	7
Freeclouds	Carter Tanton	Rock	5.7	Nick Neyland	November 18 2011	https://pitchfork.com/reviews/albums/16049-freeclouds/	7
Skittish/Rockity Roll	Mike Doughty	Rock	7.5	Stephen M. Deusner	December 13 2004	https://pitchfork.com/reviews/albums/11724-skittishrockity-roll/	7
Secondhand Rapture	MS MR	Electronic	6.0	Laura Snapes	May 22 2013	https://pitchfork.com/reviews/albums/17776-ms-mr-secondhand-rapture/	2
Second Guessing	Oakley Hall	Rock	7.3	Jason Crock	April 23 2006	https://pitchfork.com/reviews/albums/6099-second-guessing/	7
MTV Unplugged	Florence and the Machine	Pop/R&B	5.9	Lindsay Zoladz	April 12 2012	https://pitchfork.com/reviews/albums/16480-florence-the-machine-mtv-unplugged/	3
Gogol Bordello vs. Tamir Muskat	J.U.F.	Rock	5.9	David Moore	November 3 2004	https://pitchfork.com/reviews/albums/4347-gogol-bordello-vs-tamir-muskat/	7
From Every Sphere	Ed Harcourt	Rock	5.8	Amanda Petrusich	June 25 2003	https://pitchfork.com/reviews/albums/3740-from-every-sphere/	7
Seek Warmer Climes	Lower	Rock	6.9	Brandon Stosuy	June 23 2014	https://pitchfork.com/reviews/albums/19301-lower-seek-warmer-climes/	7
O Moon, Queen of Night on Earth	Jonathan Richman	Rock	7.8	Marc Hogan	February 14 2011	https://pitchfork.com/reviews/albums/15105-o-moon-queen-of-night-on-earth/	7
Upper Air	Bowerbirds	Rock	7.2	Joshua Love	July 8 2009	https://pitchfork.com/reviews/albums/13312-upper-air/	7
(III)	Crystal Castles	Electronic	8.0	Ian Cohen	November 12 2012	https://pitchfork.com/reviews/albums/17272-iii/	2
Raised By Wolves EP	Voxtrot	Rock	7.8	Brian Howe	March 28 2006	https://pitchfork.com/reviews/albums/11861-raised-by-wolves-ep-mothers-sisters-daughters-wives-ep/	7
The Bigger Artist	A Boogie Wit Da Hoodie	Rap	7.0	Kristin Corry	October 5 2017	https://pitchfork.com/reviews/albums/a-boogie-wit-da-hoodie-the-bigger-artist/	4
I'll Follow You	Oakley Hall	Rock	6.9	Zach Baron	September 25 2007	https://pitchfork.com/reviews/albums/10670-ill-follow-you/	7
Headphones	Headphones	Rock	7.0	Marc Hogan	May 10 2005	https://pitchfork.com/reviews/albums/4008-headphones/	7
Everyday Is Christmas	Sia	Pop/R&B	5.8	Katherine St. Asaph	December 5 2017	https://pitchfork.com/reviews/albums/sia-everyday-is-christmas/	3
Jiaolong	Daphni	Electronic	7.5	Andrew Gaerig	October 16 2012	https://pitchfork.com/reviews/albums/17183-jiaolong/	2
Burst and Bloom EP	Cursive	Rock	6.9	Dan Kilian	July 21 2001	https://pitchfork.com/reviews/albums/1701-burst-and-bloom-ep/	7
Reaching for Indigo	Circuit Des Yeux	Rock	8.2	Sam Sodomsky	October 20 2017	https://pitchfork.com/reviews/albums/circuit-des-yeux-reaching-for-indigo/	7
Sorry About the Flowers	Venice Is Sinking	Rock	7.0	Cory D. Byrom	August 29 2006	https://pitchfork.com/reviews/albums/9318-sorry-about-the-flowers/	7
Born Under Saturn	Django Django	Pop/R&B	5.6	Ian Cohen	May 5 2015	https://pitchfork.com/reviews/albums/20509-born-under-saturn/	3
Bigger and Blackerer	David Cross	Electronic,Rock	5.6	Nate Patrin	May 27 2010	https://pitchfork.com/reviews/albums/14233-bigger-and-blackerer/	2
Go Fly a Kite	Ben Kweller	Rock	5.5	Marc Hogan	February 23 2012	https://pitchfork.com/reviews/albums/16323-go-fly-a-kite/	7
Golden Delicious	Mike Doughty	Rock	5.0	Ben Westhoff	March 24 2008	https://pitchfork.com/reviews/albums/11230-golden-delicious/	7
Enantiodromia	Azita	Rock	8.5	Julianne Escobedo Shepherd	June 17 2003	https://pitchfork.com/reviews/albums/396-enantiodromia/	7
Mentor Tormentor	Earlimart	Experimental,Rock	7.2	Rob Mitchum	August 27 2007	https://pitchfork.com/reviews/albums/10591-mentor-tormentor/	0
Pilgrimage	Om	Metal,Rock	7.4	Mike Powell	September 27 2007	https://pitchfork.com/reviews/albums/10696-pilgrimage/	8
Grownass Man	The Shouting Matches	nan	6.3	Steven Hyden	April 22 2013	https://pitchfork.com/reviews/albums/18010-the-shouting-matches-grownass-man/	9
The Roxy July 7, 1978	Bruce Springsteen, The E Street Band	Rock	8.8	Sam Sodomsky	July 18 2018	https://pitchfork.com/reviews/albums/bruce-springsteen-the-roxy-july-7-1978/	7
Quiet Storm	Rafter	Rock	6.9	Larry Fitzmaurice	March 31 2011	https://pitchfork.com/reviews/albums/15256-quiet-storm/	7
Invisible Cities	NOMO	Global,Jazz,Pop/R&B	8.0	Joe Tangari	May 4 2009	https://pitchfork.com/reviews/albums/12945-invisible-cities/	1
The Mantles	The Mantles	Rock	6.8	Zach Kelly	January 8 2010	https://pitchfork.com/reviews/albums/13796-the-mantles/	7
Double Ecstasy EP	Antwon	Rap	6.9	Matthew Strauss	April 26 2016	https://pitchfork.com/reviews/albums/21837-double-ecstasy-ep/	4
Fabulous Diamonds II	Fabulous Diamonds	nan	7.4	Aaron Leitko	July 15 2010	https://pitchfork.com/reviews/albums/14451-fabulous-diamonds-ii/	9
Total 8	Various Artists	nan	6.9	Jess Harvell	August 13 2007	https://pitchfork.com/reviews/albums/10531-total-8/	9
Palms	Palms	Rock	6.5	Ian Cohen	July 24 2013	https://pitchfork.com/reviews/albums/18260-palms-palms/	7
If You're Reading This It's Too Late	Drake	Rap	8.3	Craig Jenkins	February 17 2015	https://pitchfork.com/reviews/albums/20271-if-youre-reading-this-its-too-late/	4
Fool's Gold	Ssion	Rock	7.6	Eric Harvey	March 12 2008	https://pitchfork.com/reviews/albums/11211-fools-gold/	7
Saturn	Nao	Pop/R&B	7.7	Eric Torres	October 31 2018	https://pitchfork.com/reviews/albums/nao-saturn/	3
Glacial Glow	Noveller	Rock	7.6	Marc Masters	July 8 2011	https://pitchfork.com/reviews/albums/15620-glacial-glow/	7
Varieties of Religious Experience	Old Time Relijun	Experimental,Rock	6.9	Brandon Stosuy	September 2 2003	https://pitchfork.com/reviews/albums/5969-varieties-of-religious-experience/	0
Glass Swords	Rustie	Electronic	8.0	Jess Harvell	October 18 2011	https://pitchfork.com/reviews/albums/15937-glass-swords/	2
The Wolf Also Shall Dwell With the Lamb	Brethren of the Free Spirit	nan	6.8	Joe Tangari	March 18 2009	https://pitchfork.com/reviews/albums/12825-the-wolf-also-shall-dwell-with-the-lamb/	9
Kiid	Mal Devisa	Rock	8.1	Jenn Pelly	August 16 2016	https://pitchfork.com/reviews/albums/22217-kiid/	7
The Clearing	Bowerbirds	Rock	7.9	Amanda Petrusich	March 7 2012	https://pitchfork.com/reviews/albums/16359-the-clearing/	7
The Good Fight	Oddisee	Rap	7.3	Marcus J. Moore	May 1 2015	https://pitchfork.com/reviews/albums/20397-the-good-fight/	4
Trust Not Those in Whom Without Some Touch of Madness	Thalia Zedek	Rock	7.8	Matthew Murphy	September 29 2004	https://pitchfork.com/reviews/albums/8946-trust-not-those-in-whom-without-some-touch-of-madness/	7
The '59 Sound	The Gaslight Anthem	Rock	8.6	Tom Breihan	November 25 2008	https://pitchfork.com/reviews/albums/12454-the-59-sound/	7
This Is My Hand	My Brightest Diamond	Rock	7.0	Eric Torres	September 15 2014	https://pitchfork.com/reviews/albums/19797-my-brightest-diamond-this-is-my-hand/	7
Cavalier	Tom Brosseau	Folk/Country	4.7	Adam Moerder	December 10 2007	https://pitchfork.com/reviews/albums/10942-cavalier/	6
Strands	Steve Hauschildt	Electronic	7.6	Philip Sherburne	November 1 2016	https://pitchfork.com/reviews/albums/22414-strands/	2
Rave Age	Vitalic	Electronic,Rock	4.7	Larry Fitzmaurice	November 7 2012	https://pitchfork.com/reviews/albums/17259-rave-age/	2
Memoryhouse	Max Richter	Experimental	8.7	Grayson Haver Currin	April 2 2014	https://pitchfork.com/reviews/albums/18864-max-richter-memoryhouse/	0
Lily-O	Sam Amidon	Rock	5.9	Stephen M. Deusner	October 9 2014	https://pitchfork.com/reviews/albums/19848-sam-amidon-lily-o/	7
Beard of Lightning	Phantom Tollbooth	Rock	3.9	William Bowers	September 18 2003	https://pitchfork.com/reviews/albums/11805-beard-of-lightning-mist-king-urth/	7
The Mountain	Heartless Bastards	Rock	6.5	Jason Crock	February 23 2009	https://pitchfork.com/reviews/albums/12697-the-mountain/	7
Amnesty (I)	Crystal Castles	Electronic	6.8	Evan Rytlewski	August 30 2016	https://pitchfork.com/reviews/albums/22243-amnesty-i/	2
Apple Box	XTC	Electronic,Rock	7.8	Chris Dahlen	July 21 2006	https://pitchfork.com/reviews/albums/9231-apple-box/	2
David Thomas Broughton vs. 7 Hertz	David Thomas Broughton, 7 Hertz	Folk/Country	7.1	Amy Granzin	February 26 2008	https://pitchfork.com/reviews/albums/11157-david-thomas-broughton-vs-7-hertz/	6
Rub	Peaches	Electronic	7.0	Cameron Cook	September 29 2015	https://pitchfork.com/reviews/albums/20950-rub/	2
A Christmas Album	Bright Eyes	Rock	7.0	Ian Cohen	December 5 2013	https://pitchfork.com/reviews/albums/18787-bright-eyes-a-christmas-album/	7
Death of a Pop Star	David Banner, 9th Wonder	Rap	5.8	Jess Harvell	January 18 2011	https://pitchfork.com/reviews/albums/15005-death-of-a-pop-star/	4
Pieces of the People We Love	The Rapture	Electronic,Rock	7.8	Rob Mitchum	September 12 2006	https://pitchfork.com/reviews/albums/9399-pieces-of-the-people-we-love/	2
You Think It's Like This But Really It's Like This	Mirah	Rock	8.0	Meg Zamula	June 30 2000	https://pitchfork.com/reviews/albums/5327-you-think-its-like-this-but-really-its-like-this/	7
Demonstration Tape (1997-2007)	Solvent	Electronic	6.8	Mike Orme	April 1 2008	https://pitchfork.com/reviews/albums/11318-demonstration-tape-1997-2007/	2
Departing	The Rural Alberta Advantage	Rock	6.7	Ian Cohen	March 2 2011	https://pitchfork.com/reviews/albums/15079-departing/	7
Nausea	Craft Spells	Rock	5.8	Ian Cohen	June 10 2014	https://pitchfork.com/reviews/albums/19430-craft-spells-nausea/	7
WWW.	Towkio	Rap	5.8	Jonah Bromwich	March 1 2018	https://pitchfork.com/reviews/albums/towkio-www/	4
Elsewhere	Pinegrove	Rock	7.5	Sam Sodomsky	January 27 2017	https://pitchfork.com/reviews/albums/22823-elsewhere/	7
Fever Focus EP	Jacques Greene	Electronic	7.7	Max Mertens	November 27 2018	https://pitchfork.com/reviews/albums/jacques-greene-fever-focus-ep/	2
Tiger, My Friend	Psapp	Electronic,Pop/R&B	7.5	Sam Ubl	December 12 2004	https://pitchfork.com/reviews/albums/6558-tiger-my-friend/	2
Smother	Wild Beasts	Rock	8.2	David Bevan	May 13 2011	https://pitchfork.com/reviews/albums/15436-smother/	7
Experiments in Time	Willis Earl Beal	Experimental	5.0	Stuart Berman	August 14 2014	https://pitchfork.com/reviews/albums/19647-willis-earl-beal-experiments-in-time/	0
Liars and Prayers	Thalia Zedek Band	nan	7.8	Stuart Berman	July 29 2008	https://pitchfork.com/reviews/albums/12017-liars-and-prayers/	9
Facit	Säkert!	Rock	7.6	Marc Hogan	October 27 2010	https://pitchfork.com/reviews/albums/14783-facit/	7
Resuscitation	ADULT.	Electronic	8.7	Nitsuh Abebe	December 12 2002	https://pitchfork.com/reviews/albums/55-resuscitation/	2
Ducktails III: Arcade Dynamics	Ducktails	Rock	7.4	Nick Neyland	January 11 2011	https://pitchfork.com/reviews/albums/14960-ducktails-iii-arcade-dynamics/	7
Souled Out	Jhené Aiko	Pop/R&B	6.5	Craig Jenkins	September 12 2014	https://pitchfork.com/reviews/albums/19791-jhene-aiko-souled-out/	3
Pockets	Karate	Jazz,Metal,Rock	8.2	Brian Howe	October 6 2004	https://pitchfork.com/reviews/albums/4387-pockets/	5
Volume One: unIndian songs	pedestrian	Rap,Rock	7.4	Brian Howe	January 23 2005	https://pitchfork.com/reviews/albums/6562-volume-one-unindian-songs/	4
Bootlegs	Sondre Lerche	Rock	6.0	Stephen M. Deusner	September 11 2012	https://pitchfork.com/reviews/albums/16990-bootlegs/	7
Early Recordings	Waxahatchee	Rock	7.2	Kevin Lozano	June 15 2016	https://pitchfork.com/reviews/albums/22006-early-recordings/	7
Metz	Metz	Rock	8.5	Stuart Berman	October 10 2012	https://pitchfork.com/reviews/albums/17170-metz/	7
Heavy Hearted in Doldrums	Antwon	Rap	7.3	Zoe Camp	May 6 2014	https://pitchfork.com/reviews/albums/19262-antwon-heavy-hearted-in-doldrums/	4
Begin to Hope	Regina Spektor	Rock	7.5	Stephen M. Deusner	June 12 2006	https://pitchfork.com/reviews/albums/9043-begin-to-hope/	7
Valley of Grace	Elucid	Rap	7.5	Paul A. Thompson	March 13 2017	https://pitchfork.com/reviews/albums/22980-valley-of-grace/	4
10 Songs	Rafter	Rock	7.3	John Motley	October 17 2006	https://pitchfork.com/reviews/albums/9475-10-songs/	7
Fabulous Diamonds	Fabulous Diamonds	nan	7.4	Aaron Leitko	September 18 2008	https://pitchfork.com/reviews/albums/12192-fabulous-diamonds/	9
Remixes	Amadou & Mariam	Global	6.8	Joe Tangari	January 21 2011	https://pitchfork.com/reviews/albums/15017-remixes/	1
Valtari	Sigur Rós	Rock	6.1	Ian Cohen	May 30 2012	https://pitchfork.com/reviews/albums/16628-sigur-ros-valtari/	7
O	Tilly and the Wall	Electronic,Rock	7.6	Rebecca Raber	June 19 2008	https://pitchfork.com/reviews/albums/11619-o/	2
Reflections - Mojave Desert	Floating Points	Electronic	7.3	Andy Beta	June 28 2017	https://pitchfork.com/reviews/albums/floating-points-reflections-mojave-desert/	2
Am I Free?/I Am Free	Resplendent	nan	8.1	Joe Tangari	May 9 2005	https://pitchfork.com/reviews/albums/11818-am-i-freei-am-free/	9
Performance	White Denim	Rock	6.5	Larry Fitzmaurice	August 30 2018	https://pitchfork.com/reviews/albums/white-denim-performance/	7
Million Dollars to Kill Me	Joyce Manor	Rock	7.5	Larry Fitzmaurice	September 22 2018	https://pitchfork.com/reviews/albums/joyce-manor-million-dollars-to-kill-me/	7
Galactic Melt	Com Truise	Electronic	7.3	Mark Pytlik	July 5 2011	https://pitchfork.com/reviews/albums/15604-galactic-melt/	2
Farewell Sorrow	Alasdair Roberts	Folk/Country	7.5	Matt LeMay	August 19 2003	https://pitchfork.com/reviews/albums/6800-farewell-sorrow/	6
Total 9	Various Artists	nan	6.9	Tim Finney	August 20 2008	https://pitchfork.com/reviews/albums/12116-total-9/	9
The Same as a Flower	Nagisa Ni Te	Rock	6.8	Liam Singer	September 1 2004	https://pitchfork.com/reviews/albums/5699-the-same-as-a-flower/	7
Because the Internet	Childish Gambino	Rap	5.8	Craig Jenkins	December 12 2013	https://pitchfork.com/reviews/albums/18817-childish-gambino-because-the-internet/	4
Apples and Synthesizers	Solvent	Electronic	8.0	Derek Miller	October 19 2004	https://pitchfork.com/reviews/albums/7782-apples-and-synthesizers/	2
Sologne	Loney Dear	Rock	7.6	Roque Strew	October 24 2007	https://pitchfork.com/reviews/albums/10771-sologne/	7
Come Over When You’re Sober Pt. 2	Lil Peep	Rap	7.2	Jayson Greene	November 9 2018	https://pitchfork.com/reviews/albums/lil-peep-come-over-when-youre-sober-pt-2/	4
Your Arsenal	Morrissey	Rock	7.3	Douglas Wolk	February 21 2014	https://pitchfork.com/reviews/albums/18999-morrissey-your-arsenal/	7
New Roof EP	Karen Gwyer	Electronic	6.1	Nick Neyland	February 20 2014	https://pitchfork.com/reviews/albums/19038-karen-gwyer-new-roof-ep/	2
Consignment: Favor For a Favor, the Redi-Rock Mixtape	Boldy James	Rap	7.8	David Drake	April 16 2012	https://pitchfork.com/reviews/albums/16491-boldy-james-consignment-favor-for-a-favor-the-redi-rock-mixtape/	4
Steal This Double Album	The Coup	Rap	8.1	Sam Chennault	September 16 2002	https://pitchfork.com/reviews/albums/1632-steal-this-double-album/	4
7	Philip Jeck	Experimental	8.2	Mark Richardson	January 13 2004	https://pitchfork.com/reviews/albums/4227-7/	0
Fela Kuti Box Set #4	Fela Kuti	Global	8.5	Edwin “STATS” Houghton	December 15 2017	https://pitchfork.com/reviews/albums/fela-kuti-fela-kuti-box-set-4/	1
Night Light	Au Revoir Simone	Electronic,Rock	4.0	Mike Powell	July 15 2010	https://pitchfork.com/reviews/albums/14383-night-light/	2
Creaturesque	Throw Me the Statue	Rock	6.1	Paul Thompson	August 11 2009	https://pitchfork.com/reviews/albums/13353-creaturesque/	7
Takes	Adem	Rock	7.3	Brian Howe	June 11 2008	https://pitchfork.com/reviews/albums/11583-takes/	7
Dots and Loops	Stereolab	Experimental	9.2	Eric Harvey	July 23 2017	https://pitchfork.com/reviews/albums/stereolab-dots-and-loops/	0
More About Nothing	Wale	Rap	6.5	Ian Cohen	August 18 2010	https://pitchfork.com/reviews/albums/14565-more-about-nothing/	4
